,Time_hrs,mean_inner_CFP,mean_edge_CFP,mean_CFP
275,10.5,1622.857365376057,708.4564017025192,1107.832901386549
277,10.583333333333334,1624.5630910165485,701.1180555555555,1104.856815245478
279,10.666666666666666,1627.497919252391,693.6902167679781,1104.493624538301
281,10.75,1623.8885753563418,705.2279399166142,1110.4883498244494
283,10.833333333333334,1620.377427184466,747.5686030036837,1133.8291789087925
285,10.916666666666666,1614.4952340605805,800.1102295746118,1161.2855800845468
287,11.0,1594.0263010632345,870.0071990624476,1191.3040198665221
289,11.083333333333334,1588.058684137162,943.0844380082433,1229.5710482323075
291,11.166666666666666,1582.2997493385321,1012.1851975514746,1265.432296177162
293,11.25,1579.3307574491785,1075.954272363151,1299.5318800247373
295,11.333333333333334,1574.064954051796,1130.8170338228751,1327.6881880024735
297,11.416666666666666,1572.3517822333613,1175.4794726301734,1351.7526283240568
299,11.5,1570.2049568365358,1214.2161214953273,1372.3306431663575
301,11.583333333333334,1569.8994012809806,1244.073153093013,1388.7907854050711
303,11.666666666666666,1570.828529657477,1268.6546506453046,1402.866944959802
305,11.75,1571.8155109997215,1283.4080996884736,1411.5059369202231
307,11.833333333333334,1578.0176830966307,1287.6377948375612,1416.6117192331478
309,11.916666666666666,1581.7361352724233,1262.0849088078294,1404.0632050687686
311,12.0,1588.2524518208627,1174.4245340412588,1359.1659726899761
313,12.083333333333334,1640.3114732202484,1060.4059610573263,1320.7028776978418
315,12.166666666666666,1724.4401740391586,972.9955169061252,1311.4055161357362
317,12.25,1765.3058115970452,885.624387881397,1282.8052243211337
319,12.333333333333334,1781.368628974807,838.5680463842808,1265.88352706352
321,12.416666666666666,1786.4212529840634,815.55473475724,1255.79640140433
323,12.5,1785.0068084013105,793.3613961941415,1243.7779268897514
325,12.583333333333334,1786.597924274457,772.4885210891617,1233.4580797344126
327,12.666666666666666,1782.6393682735784,750.6690290951723,1220.8024891931884
329,12.75,1783.3233096986578,731.9904209461978,1212.1377107005521
331,12.833333333333334,1785.5173043040525,721.9354017501988,1208.3786513943649
333,12.916666666666666,1780.9146943108724,711.9351062139111,1202.5504729148754
335,13.0,1775.6654051371136,705.4293108001058,1197.5431204176532
337,13.083333333333334,1770.2581359581668,699.2988475503868,1193.0433376822282
339,13.166666666666666,1764.7925921405906,694.1983931103293,1189.3833366261185
341,13.25,1754.7589474319514,685.6597225857106,1182.209171945955
343,13.333333333333334,1747.8329842618634,677.9429943620797,1176.4215853012518
345,13.416666666666666,1742.2922290266958,672.9036463744028,1171.5326439522053
347,13.5,1735.2125919388056,665.9511398963731,1166.62887450062
349,13.583333333333334,1730.787457054679,660.0133299022132,1162.3875638608854
351,13.666666666666666,1722.7247161874027,655.7641567501024,1158.2192189747348
353,13.75,1716.7549002800158,652.0013805092545,1154.7976630596108
355,13.833333333333334,1710.120606128887,647.8703477108188,1152.5287694695712
357,13.916666666666666,1702.5124503385373,644.6277275956561,1147.740213428427
359,14.0,1699.0381116165536,642.294644211804,1146.246011799254
361,14.083333333333334,1694.6348613779849,639.4361563190678,1143.6054088083306
363,14.166666666666666,1692.4514968100766,639.4113439703898,1143.212433475947
365,14.25,1687.6582805821563,639.5850299401197,1142.4414505620018
367,14.333333333333334,1681.6795706962835,669.7872350960587,1156.6518857260305
369,14.416666666666666,1685.7470063828666,727.5268690441104,1189.5637288566704
371,14.5,1665.3700918097409,802.4447348044908,1218.9466990461408
